step,train_loss,test_loss
0,0.9330711960792542,0.8917570114135742
500,0.4134291410446167,0.4031845033168793
1000,0.4163147807121277,0.40306931734085083
1500,0.40953391790390015,0.4027610123157501
2000,0.43212538957595825,0.402484655380249
2500,0.4028072655200958,0.4023575782775879
3000,0.41800034046173096,0.40063366293907166
3500,0.35242998600006104,0.3358573913574219
4000,0.31671473383903503,0.3059479594230652
4500,0.32346171140670776,0.3059871196746826
5000,0.3290477991104126,0.3050789535045624
5500,0.3256716728210449,0.30595046281814575
6000,0.3318604826927185,0.3059176504611969
6500,0.33708876371383667,0.30553126335144043
7000,0.3147048354148865,0.3060666024684906
7500,0.3381200432777405,0.3060689866542816
8000,0.32683491706848145,0.30573293566703796
8500,0.3230278193950653,0.30781790614128113
9000,0.3378068804740906,0.3059593141078949
9500,0.33256131410598755,0.30762189626693726
9999,0.3189997673034668,0.306033194065094
